26-06-2025 /\ 09:31:10 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.878644 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:31:10','2025-06-26 09:31:10','','','','','','122','0.878644') 
26-06-2025 /\ 09:33:11 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.889166 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:33:11','2025-06-26 09:33:11','','','','','','121','0.889166') 
26-06-2025 /\ 09:35:12 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.894428 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:35:12','2025-06-26 09:35:12','','','','','','121','0.894428') 
26-06-2025 /\ 09:37:14 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.899689 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:37:14','2025-06-26 09:37:14','','','','','','122','0.899689') 
26-06-2025 /\ 09:39:14 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.962825 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:39:14','2025-06-26 09:39:14','','','','','','120','0.962825') 
26-06-2025 /\ 09:41:15 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.831292 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:41:15','2025-06-26 09:41:15','','','','','','121','0.831292') 
26-06-2025 /\ 09:43:16 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.894428 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:43:16','2025-06-26 09:43:16','','','','','','121','0.894428') 
26-06-2025 /\ 09:45:16 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.910212 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:45:16','2025-06-26 09:45:16','','','','','','120','0.910212') 
26-06-2025 /\ 09:47:18 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.904950 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:47:18','2025-06-26 09:47:18','','','','','','122','0.904950') 
26-06-2025 /\ 09:49:21 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.910212 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:49:21','2025-06-26 09:49:21','','','','','','123','0.910212') 
26-06-2025 /\ 09:51:19 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.894428 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:51:19','2025-06-26 09:51:19','','','','','','118','0.894428') 
26-06-2025 /\ 09:53:21 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.883905 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:53:21','2025-06-26 09:53:21','','','','','','122','0.883905') 
26-06-2025 /\ 09:55:21 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.883905 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:55:21','2025-06-26 09:55:21','','','','','','120','0.883905') 
26-06-2025 /\ 09:57:23 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.868121 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:57:23','2025-06-26 09:57:23','','','','','','122','0.868121') 
26-06-2025 /\ 09:59:24 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.915473 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','09:59:24','2025-06-26 09:59:24','','','','','','121','0.915473') 
26-06-2025 /\ 10:01:25 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.889166 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:01:25','2025-06-26 10:01:25','','','','','','121','0.889166') 
26-06-2025 /\ 10:03:25 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.883905 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:03:25','2025-06-26 10:03:25','','','','','','120','0.883905') 
26-06-2025 /\ 10:05:27 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.910212 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:05:27','2025-06-26 10:05:27','','','','','','122','0.910212') 
26-06-2025 /\ 10:07:27 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.994393 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:07:27','2025-06-26 10:07:27','','','','','','120','0.994393') 
26-06-2025 /\ 10:09:29 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.925996 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:09:29','2025-06-26 10:09:29','','','','','','122','0.925996') 
26-06-2025 /\ 10:11:29 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.873382 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:11:29','2025-06-26 10:11:29','','','','','','120','0.873382') 
26-06-2025 /\ 10:13:31 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.899689 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:13:31','2025-06-26 10:13:31','','','','','','122','0.899689') 
26-06-2025 /\ 10:15:32 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.894428 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:15:32','2025-06-26 10:15:32','','','','','','121','0.894428') 
26-06-2025 /\ 10:17:32 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.883905 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:17:32','2025-06-26 10:17:32','','','','','','120','0.883905') 
26-06-2025 /\ 10:19:34 /\ ultimo_id /\ ardu.php?id=255&lt=0&lg=0&m=0&s1=0.915473 /\ ultimo_id /\ 1146 /\ Table 'crosstec_pe_clientes.telemetria_listado_tablarelacionada_255' doesn't exist /\ INSERT INTO `telemetria_listado_tablarelacionada_255` (idTelemetria, FechaSistema, HoraSistema, TimeStamp, GeoLatitud, GeoLongitud, GeoVelocidad, GeoDireccion, GeoMovimiento,Segundos,Sensor_1) VALUES ('255','2025-06-26','10:19:34','2025-06-26 10:19:34','','','','','','122','0.915473') 
